idx,z_mm,norm_mm,reproj,status,frame_robot_delta_ms,tcp_x,tcp_y,tcp_z,tcp_rx,tcp_ry,tcp_rz,ee_x,ee_y,ee_z,joint_state,trans_mm,rot_deg
0,372.1226005401789,383.7458778282833,0.91359711015463,too_far,,0.1178886292644599,0.010196932576270135,0.3963742568306696,2.8267307091975233,-2.11602465878487,0.8790696182918555,0.1178886292644599,0.010196932576270135,0.3963742568306696,0.07343388 0.91840267 1.36282158 -1.32429218 -0.06008244 -0.19054699,44.37881628370438,9.119671280061182
1,376.57865014010946,377.07348416146147,1.5420730503915796,too_far,,0.22029284639700972,0.019676144092114378,0.4380200683674829,2.832471944367165,-2.1026671790064584,0.8409284514251092,0.22029284639700972,0.019676144092114378,0.4380200683674829,0.08220768 1.34451103 1.76642227 -1.32429218 -0.06008244 -0.19054699,57.09773599460608,6.695670504004927
2,324.9364295822712,325.3032442081931,2.117459242499734,preferred,,0.26918423732734076,0.028266895875077712,0.4105529979364084,2.806720698202418,-2.05941648824507,0.6522486236771022,0.26918423732734076,0.028266895875077712,0.4105529979364084,0.09975624 1.50473022 1.79961109 -1.32429218 -0.05207157 -0.19054699,48.465160949981666,4.963586208593572
3,367.3474906757164,373.4181046166382,1.0999296755183328,too_far,,0.13024614673671991,-0.050624335736233345,0.3860033451326435,3.133233455930677,-1.3126109496491782,1.042348902877953,0.13024614673671991,-0.050624335736233345,0.3860033451326435,-0.44460964 0.99126434 1.34641838 -1.32200336 -0.42019558 -1.08930302,35.86357855283889,4.703681737407305
4,329.37528013700353,335.9910201930091,1.2453966967258652,preferred,,0.19910756758842035,-0.15862713699116648,0.3454778330194659,3.3517836681349573,-0.9134588788680552,0.9380964491524795,0.19910756758842035,-0.15862713699116648,0.3454778330194659,-0.73186111 1.43530178 1.47840881 -1.31666279 -0.63725471 -1.67181683,35.478569515244814,2.793084050312349
5,320.81100037749593,321.61374609217904,1.4697056724512731,preferred,,0.24988636426774496,-0.1583655367390234,0.35737286824302694,3.424730617435933,-0.43800354516394147,1.024577671671856,0.24988636426774496,-0.1583655367390234,0.35737286824302694,-0.61779976 1.59056187 1.66723919 -1.31589985 -0.66739178 -1.81830311,34.32140014969041,2.300878208345313
6,309.81587105193734,311.3699555215147,1.3531021797680862,preferred,,0.29544517654774904,-0.11770918331519242,0.3809401082696738,3.307323655535516,0.17291190947506657,1.021826487588788,0.29544517654774904,-0.11770918331519242,0.3809401082696738,-0.42057705 1.67677593 1.85301781 -1.32467365 -0.54798985 -1.97547150,59.54013054785731,5.091873549323797
7,303.51221934009305,304.53430642807564,1.5823792662168703,preferred,,0.2766215116005828,-0.06687459232500907,0.3742779010626263,3.038328565632486,0.9138389255627755,0.8827712169792125,0.2766215116005828,-0.06687459232500907,0.3742779010626263,-0.27256393 1.54669285 1.69851971 -1.32429218 -0.40913296 -2.34397697,52.72420890305883,7.374382093561407
8,347.67297436534443,348.92664654154214,0.935777680163073,preferred,,0.20498686068101307,-0.0507618571226235,0.40310730116711374,-2.859332370671504,-0.9662206638386059,-0.9738698485507487,0.20498686068101307,-0.0507618571226235,0.40310730116711374,-0.27981186 1.27851486 1.58140659 -1.32429218 -0.31452656 -2.41302395,42.41276764311646,4.359854347584184
9,266.8623347006706,273.20168636179545,2.074320868287965,contrast,,0.34098620355630077,-0.07550349495304079,0.38093186566232873,-2.6664540991006573,-1.6546863811718149,-0.8288603627465958,0.34098620355630077,-0.07550349495304079,0.38093186566232873,-0.23823166 1.79541492 1.99988556 -1.32581806 -0.28439045 -2.85439110,41.220543283790015,7.047701584095954
10,268.4453170816877,269.27396957707026,1.4216081933123346,contrast,,0.3515123658785858,0.006773459151111284,0.3723085628179208,-2.3733340940302763,-2.239030830949101,-0.6589263896524046,0.3515123658785858,0.006773459151111284,0.3723085628179208,0.01010895 1.80151844 1.97814178 -1.32543659 -0.12760353 -3.04589176,34.609640804647064,3.315519586329447
