idx,z_mm,norm_mm,reproj,status,frame_robot_delta_ms,tcp_x,tcp_y,tcp_z,tcp_rx,tcp_ry,tcp_rz,ee_x,ee_y,ee_z,joint_state,trans_mm,rot_deg
0,327.39176057043227,331.62747571582395,1.2529644204531083,preferred,6.391286849975586,0.1284596468566086,-0.001731023709092519,0.3302731692781104,2.698723801353614,-2.4507852486681694,0.9640901325239893,0.1284596468566086,-0.001731023709092519,0.3302731692781104,-0.04329777 0.77420425 0.99088287 -0.98973846 -0.15201759 -0.07534122,20.060664277619644,5.247623053879337
1,278.175384355426,284.42136592004175,1.412784283059637,contrast,6.829023361206055,0.16473553120800966,-0.0035645482206059405,0.3081892752173968,2.6619834934608426,-2.4452906376100594,0.849066651744755,0.16473553120800966,-0.0035645482206059405,0.3081892752173968,-0.04291630 0.90772152 0.95311642 -0.89665794 -0.13904762 -0.07534122,15.916534835866798,4.5728572368860965
2,332.61935585942143,333.99607069021454,1.5873633538669099,preferred,6.4601898193359375,0.17207363032319448,0.0004206742538203404,0.36715256811261654,2.6945818010280873,-2.4034786101505166,0.8552408131880912,0.17207363032319448,0.0004206742538203404,0.36715256811261654,-0.01621246 1.01758575 1.24341965 -1.07480717 -0.12722206 -0.08220768,23.278389180003032,5.177210919137221
3,277.60312498162597,285.6206544657523,1.9452888076326715,contrast,6.383657455444336,0.1983559621784738,0.0006088109559121103,0.33751799188101,2.6294084421476898,-2.372010036987069,0.6772570376501124,0.1983559621784738,0.0006088109559121103,0.33751799188101,-0.00934601 1.11524391 1.19497204 -1.06145573 -0.09746742 -0.08258915,22.434143785716454,4.703259638315321
4,327.3257537566264,335.1041461435465,1.7629226477123021,preferred,5.954980850219727,0.20154702319268986,0.010205395257335931,0.3969730172182954,2.608288677705916,-2.344723341095894,0.6397238567185948,0.20154702319268986,0.010205395257335931,0.3969730172182954,0.04406071 1.23426437 1.52952576 -1.31361103 -0.05207157 -0.04749393,30.00088407740242,4.599491154622737
5,279.31061637764543,289.0226648448383,2.3175266503870486,contrast,5.679845809936523,0.23698891087717977,0.010986486848345571,0.3668576531005573,2.5389408027885514,-2.3225790018402988,0.549710683960784,0.23698891087717977,0.010986486848345571,0.3668576531005573,0.04406071 1.33802509 1.48451233 -1.25181198 -0.02117157 -0.03986454,29.93586238428707,5.088015752229195
6,276.8849809206664,277.38402425425335,2.8196000471090064,contrast,3.093242645263672,0.28425072194005496,0.037326687577482004,0.3668879908871171,2.5360570743107083,-2.309988230317902,0.5828623190814276,0.28425072194005496,0.037326687577482004,0.3668879908871171,0.13370705 1.51388550 1.63023567 -1.21251965 0.03566837 0.03185368,17.051530171480124,1.7596262005646472
7,342.9392820787136,343.11111665218044,1.8929010600245983,preferred,6.1893463134765625,0.25728857203921707,0.042121428286855084,0.41976526973962536,2.5758956155596366,-2.3397495985632397,0.7433659283006702,0.25728857203921707,0.042121428286855084,0.41976526973962536,0.16842175 1.47001648 1.79999256 -1.31361103 0.06351566 0.05321598,23.74995751653384,6.272923467909205
8,310.48420654954356,312.4623768913371,1.3927934825543946,preferred,6.133556365966797,0.17357975229400252,-0.09823793040944781,0.31532876271854926,3.1922446326105374,-1.616412963149785,0.9988836589246417,0.17357975229400252,-0.09823793040944781,0.31532876271854926,-0.58804417 1.12172890 1.10456276 -1.02712250 -0.61322212 -1.05115604,24.490796027349862,2.7637612059407255
9,270.2927666734723,272.55257981355214,1.8783548978368247,contrast,5.2280426025390625,0.19841575967756842,-0.10267676971286563,0.2870974435657536,3.284673620971934,-1.5905771883727795,0.8781857505991829,0.19841575967756842,-0.10267676971286563,0.2870974435657536,-0.54493809 1.22014999 1.05916691 -0.94624996 -0.63725471 -1.05840397,21.117578080361227,2.3393165232131987
10,315.5612973286531,315.5788663587928,1.627738951823523,preferred,5.893468856811523,0.21337832153575043,-0.13766120140332688,0.3259091518770394,3.3667158455531805,-1.4738179019152085,0.9171714713677637,0.21337832153575043,-0.13766120140332688,0.3259091518770394,-0.63916206 1.38456535 1.33993244 -1.14156532 -0.72652054 -1.23693466,18.596276865270823,2.9984043485763
11,269.430976581828,269.51614135393805,2.4391528001726144,contrast,6.079435348510742,0.2532224050914581,-0.14115635754975292,0.2954542683417633,3.4396842219644896,-1.3870841583090276,0.8115934120475422,0.2532224050914581,-0.14115635754975292,0.2954542683417633,-0.56553745 1.51655579 1.33878803 -1.04200077 -0.71164227 -1.23807907,11.437969737018262,2.8600951523909424
12,306.75825742443374,308.3580351180209,1.7303697896609225,preferred,6.772518157958984,0.26558275479117593,-0.16271227555201548,0.34640467770938366,3.4586148617111183,-0.5683034743940139,0.9251718572664932,0.26558275479117593,-0.16271227555201548,0.34640467770938366,-0.59872627 1.65159798 1.69165325 -1.31551838 -0.64831734 -1.74391556,36.93622752299909,2.7702160354858667
13,271.0925841476714,271.48087595600924,2.16111516062315,contrast,6.0787200927734375,0.30286305374400424,-0.147822420721116,0.31928750485089274,3.5627870731916156,-0.4514031494500989,0.8215504706836727,0.30286305374400424,-0.147822420721116,0.31928750485089274,-0.50030518 1.74582291 1.69241619 -1.27164841 -0.66357708 -1.73399734,45.990923722291164,4.237056335504162
14,289.16554241363116,295.8418465122096,2.1545360809129925,contrast,6.710052490234375,0.3290164117728953,-0.1565914439030676,0.3469369951166605,3.5080217965686398,-0.3312578049000236,0.9549181508912453,0.3290164117728953,-0.1565914439030676,0.3469369951166605,-0.48695374 1.85416222 1.93122005 -1.31589985 -0.66319561 -1.75421524,31.093744916143375,2.86791966252025
15,282.0125020640211,284.0694812801365,2.3837276090127704,contrast,6.326436996459961,0.32074437983482956,-0.15169523221222928,0.34049402651525423,3.4710052850441944,-0.30113673393722656,0.847737188577889,0.32074437983482956,-0.15169523221222928,0.34049402651525423,-0.48123169 1.81982899 1.86903954 -1.32391071 -0.58651829 -1.78892994,40.54375471824736,4.156428779502797
16,271.53342683775895,282.7505663186474,2.2214547023938813,contrast,6.364583969116211,0.33456890371541437,-0.10160258837215846,0.37977818365741106,2.947366016857169,0.9846764228397284,0.9732609044981362,0.33456890371541437,-0.10160258837215846,0.37977818365741106,-0.32597065 1.79732227 1.99263763 -1.32276630 -0.44499111 -2.43972683,73.51917710374518,11.269802961290504
17,286.7979374761756,302.5420268027076,2.049205625678787,preferred,5.4912567138671875,0.31053477727374024,-0.09428409324010156,0.4027553262812706,2.861958193819853,0.9739879189906651,1.0105842605819342,0.31053477727374024,-0.09428409324010156,0.4027553262812706,-0.32597065 1.70767498 1.97356415 -1.32276630 -0.41180325 -2.44316006,77.73969042623584,11.738383222630315
18,245.8843523422842,248.7392362256085,1.9673479952702078,too_close,5.5446624755859375,0.3533052462020311,0.014995493390543645,0.36176080158980584,-2.5880635043466196,-2.0937827796950996,-0.536564697436644,0.3533052462020311,0.014995493390543645,0.36176080158980584,0.04215336 1.80457020 1.94228268 -1.31513691 -0.00362396 -2.88834190,40.06331022120747,6.134601508019047
19,295.37013794543594,313.21129802288704,1.3575596117570814,preferred,6.439447402954102,0.2959055765404103,0.012487581718655636,0.4220391270494518,-2.635758027102144,-2.1317530967511558,-0.828035922198271,0.2959055765404103,0.012487581718655636,0.4220391270494518,0.04215336 1.60582161 1.94037533 -1.31513691 -0.00019073 -2.88872337,30.60715541420228,6.729232988306205
20,326.411013753103,335.1931863452432,0.7507929521678441,preferred,5.610466003417969,0.2532767730339669,0.01350226695218723,0.42014813057774414,-2.6451757459165957,-2.199274239612271,-0.7751217391963429,0.2532767730339669,0.01350226695218723,0.42014813057774414,0.05817509 1.44750881 1.78358936 -1.32391071 0.04940128 -2.91466427,31.082810784881445,5.497482889718827
21,313.18996755486836,327.9302010622885,0.8661192245541969,preferred,6.649971008300781,0.13006883896871613,0.20217518926449934,0.2834168813222431,1.7068688941534944,-2.928657116578374,0.9603532199639949,0.13006883896871613,0.20217518926449934,0.2834168813222431,1.06412601 1.42652798 1.23502731 -1.31628132 0.66586590 1.55775547,35.561860150156114,1.4224825515487138
22,270.5929987610096,285.97781143577754,1.182666108755577,contrast,6.126165390014648,0.16381150528611776,0.2021941719424749,0.25732370927963355,1.5379162747025543,-2.8679260255882677,1.0604949172106775,0.16381150528611776,0.2021941719424749,0.25732370927963355,0.95159054 1.53448582 1.22854233 -1.29034138 0.68760967 1.54707432,30.848675830262966,1.987966804782203
23,317.15921060177436,331.9871730544011,0.6529820533042338,preferred,6.039142608642578,0.16095007517619908,0.27178780868925495,0.27364572119801317,1.6994195934468301,-2.9130814227575,1.0362177026621966,0.16095007517619908,0.27178780868925495,0.27364572119801317,1.08815861 1.72674942 1.49633789 -1.31666279 0.70706463 1.59399605,40.49408402441948,2.639046376696751
