combo_id	sample	trans_mm	rot_deg
0	0	21.694818	6.567157
0	1	26.208129	3.186153
0	2	23.557200	3.725367
0	3	23.628214	2.570191
0	4	41.104682	4.999414
0	5	21.488078	1.715159
0	6	34.509750	2.086472
0	7	12.726536	2.499865
0	8	52.057373	7.729008
0	9	18.803875	0.903671
0	10	14.517488	8.216030
0	11	39.081103	1.842333
0	12	20.373910	4.430878
0	13	18.529884	3.593890
0	14	29.505865	2.689939
0	15	35.836383	6.349447
0	16	22.961622	1.988659
0	17	21.473105	3.622413
0	18	31.620963	2.307725
0	19	16.311342	3.021298
0	20	11.436348	4.493548
0	21	12.437251	2.984779
0	22	41.787982	7.538466
0	23	26.380450	5.318595
0	24	12.781381	3.574285
0	25	20.424949	4.283737
0	26	23.457322	5.070588
0	27	20.416545	2.345578
0	28	24.625095	5.307437
0	29	28.132134	2.926542
1	0	504.972852	177.782421
1	1	505.778417	178.004324
1	2	492.039436	176.898567
1	3	512.065386	177.476822
1	4	532.616372	177.226136
1	5	507.729549	176.845077
1	6	519.318279	177.253923
1	7	498.636960	176.360526
1	8	490.502895	175.901726
1	9	491.026964	176.128071
1	10	494.547406	175.070836
1	11	480.165303	176.622153
1	12	492.365589	175.848494
1	13	498.036811	176.975011
1	14	475.632531	177.293998
1	15	492.592544	177.593838
1	16	491.657454	176.200259
1	17	487.176560	176.377990
1	18	487.215165	177.089597
1	19	491.954732	175.783294
1	20	484.909022	175.062692
1	21	491.038290	175.880850
1	22	496.515837	176.317566
1	23	472.551570	174.775574
1	24	487.159589	175.107882
1	25	480.273556	175.011453
1	26	498.092471	175.803389
1	27	502.156781	177.134223
1	28	510.340566	176.502898
1	29	495.879275	178.951707
2	0	183.299393	36.236374
2	1	164.998520	30.822466
2	2	213.744840	34.298007
2	3	252.423831	32.698548
2	4	230.713210	34.880343
2	5	274.422010	31.566222
2	6	273.875872	30.303074
2	7	338.812775	29.443924
2	8	396.921627	27.111819
2	9	479.245759	31.378560
2	10	486.723585	26.103497
2	11	486.539245	29.851386
2	12	500.819755	29.676478
2	13	487.716950	28.055651
2	14	285.691379	29.111526
2	15	177.470306	31.075259
2	16	312.716507	29.450222
2	17	288.720944	27.811565
2	18	291.126328	28.897820
2	19	419.665983	32.357894
2	20	466.602387	34.700246
2	21	462.901367	33.063315
2	22	498.999219	31.624505
2	23	452.959040	35.228888
2	24	499.711767	34.482226
2	25	519.669501	33.619215
2	26	486.164501	27.822423
2	27	191.885233	33.241037
2	28	237.267934	35.617973
2	29	332.189817	30.386490
3	0	457.430176	177.900215
3	1	462.824208	178.469505
3	2	437.320238	172.472145
3	3	515.379434	178.692041
3	4	500.010932	175.032858
3	5	550.755417	179.320836
3	6	536.006382	174.645578
3	7	588.280307	177.565949
3	8	508.009051	166.307001
3	9	590.464473	173.118265
3	10	528.537500	170.357421
3	11	551.122268	174.921774
3	12	518.833315	177.220197
3	13	520.069534	173.014839
3	14	334.491994	174.184481
3	15	358.818209	173.941672
3	16	388.851195	166.705340
3	17	302.460214	176.450280
3	18	366.943339	166.982464
3	19	521.498236	171.047420
3	20	532.386992	172.030541
3	21	514.189718	174.142952
3	22	480.881049	167.529575
3	23	479.117218	166.027175
3	24	555.045366	175.715491
3	25	631.112760	176.330081
3	26	547.705990	179.862147
3	27	483.646140	175.281876
3	28	508.506352	174.671758
3	29	571.887122	175.623213
4	0	252.091312	36.570619
4	1	349.133371	33.929358
4	2	173.751465	44.781536
4	3	404.660050	61.394345
4	4	427.139884	39.341078
4	5	490.128375	52.731874
4	6	483.265692	51.774303
4	7	575.045133	40.311626
4	8	491.443446	11.008556
4	9	631.389957	8.848278
4	10	503.463054	15.848481
4	11	622.551917	5.609656
4	12	471.666290	29.964574
4	13	437.407128	36.191495
4	14	142.448548	46.632613
4	15	311.560788	62.890827
4	16	209.796605	58.546713
4	17	148.493455	32.656127
4	18	200.129121	63.585246
4	19	312.851964	39.162534
4	20	438.432087	33.628775
4	21	425.788908	24.367919
4	22	404.362481	62.971388
4	23	439.277065	54.362516
4	24	465.130167	22.470309
4	25	513.016360	5.353302
4	26	427.307865	23.289122
4	27	247.919816	28.916654
4	28	375.771146	50.310714
4	29	415.685831	64.138320
5	0	280.875421	175.563955
5	1	176.000758	175.691535
5	2	348.410677	176.464581
5	3	315.171418	171.794486
5	4	309.145493	171.455051
5	5	367.735744	173.060571
5	6	384.061149	169.235747
5	7	461.121927	174.356123
5	8	439.404781	174.891023
5	9	663.334184	175.386364
5	10	561.519428	179.511702
5	11	686.673540	177.018823
5	12	676.962085	177.406719
5	13	577.011492	173.349942
5	14	516.325510	170.079715
5	15	263.264806	162.670840
5	16	480.898591	172.021882
5	17	515.426487	167.805061
5	18	445.489502	171.571047
5	19	659.899888	177.617068
5	20	769.844069	176.181116
5	21	739.907410	174.968980
5	22	632.342331	179.220771
5	23	757.543296	176.942313
5	24	739.025467	175.736856
5	25	757.120195	175.528284
5	26	661.086172	177.662098
5	27	247.651522	178.072509
5	28	251.438257	176.321280
5	29	403.495623	171.668586
6	0	419.282001	30.331968
6	1	485.203405	26.899587
6	2	388.088339	41.206543
6	3	588.233174	42.098743
6	4	582.910767	28.130871
6	5	639.622158	29.971086
