combo_id	sample	trans_mm	rot_deg
0	0	24.442063	7.371440
0	1	24.390519	7.300185
0	2	24.588025	7.338838
0	3	24.455093	7.234171
0	4	24.275443	7.198689
0	5	24.214135	7.117978
0	6	23.923655	6.976334
0	7	23.905465	6.992932
0	8	24.813954	7.378129
0	9	24.320983	7.193217
1	0	511.796046	178.104237
1	1	511.740144	178.073956
1	2	512.165560	178.027443
1	3	511.983115	178.012544
1	4	511.380644	178.035330
1	5	510.311440	177.954506
1	6	510.145140	177.946411
1	7	510.199763	177.955778
1	8	509.812564	177.894553
1	9	510.422788	177.996915
2	0	189.149038	37.702866
2	1	189.467137	37.634438
2	2	189.261394	37.595705
2	3	189.557210	37.587543
2	4	189.832861	37.542718
2	5	189.899246	37.632771
2	6	190.703721	37.493634
2	7	190.691231	37.508259
2	8	188.602330	37.995441
2	9	189.826129	37.750360
3	0	455.248037	175.952680
3	1	455.261222	175.920662
3	2	455.178482	175.938582
3	3	455.658619	175.854066
3	4	455.019991	175.873547
3	5	455.128969	175.680435
3	6	455.060569	175.661099
3	7	455.120975	175.671089
3	8	455.542485	175.588987
3	9	455.867206	175.701552
4	0	237.171292	49.335841
4	1	236.974900	49.384530
4	2	236.778674	49.230499
4	3	236.744606	49.437657
4	4	236.908392	49.471185
4	5	237.220186	49.736936
4	6	237.103142	49.843474
4	7	237.106043	49.831750
4	8	236.591632	49.270567
4	9	235.908821	49.378296
5	0	318.802510	174.941222
5	1	318.779439	174.892142
5	2	319.604126	174.758416
5	3	319.268604	174.828662
5	4	318.532972	174.836307
5	5	317.169617	174.948362
5	6	316.965834	174.902862
5	7	317.002789	174.915536
5	8	317.155465	175.212372
5	9	317.575173	175.187710
6	0	426.433579	40.799883
6	1	426.655025	40.800254
6	2	426.372186	40.557274
6	3	426.626892	40.815536
6	4	426.980023	40.818510
6	5	427.172550	41.226337
6	6	427.827926	41.261404
6	7	427.808301	41.260299
6	8	424.422579	41.137561
6	9	425.260369	41.091981
7	0	377.545725	175.692280
7	1	377.651634	175.745430
7	2	377.023556	175.821667
7	3	378.191005	175.818756
7	4	377.657546	175.812753
7	5	379.138613	175.820208
7	6	379.205434	175.876717
7	7	379.252493	175.862700
7	8	379.974729	175.678084
7	9	379.857313	175.678465
